Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Cu,Na,P,Mg
22,0.413,8.042,0.158,1.228,0.016,0.041,0.417,2.736,0,0.069,0.036,0.101,0.023,0.023,0.128,0,0.002,0,3.222,8.339,0.355,8.263,0.15,0,0.268,0,2.184,0,3.18,9.32,1.41,212.77,11.56,43.3,322.23,209.93,12.64
23,0.304,12.78,0.558,4.354,0.008,0.055,0.338,7.259,0.009,0.255,0.037,0.032,0.116,0.116,0.042,0,0,0,2.629,4.458,0.364,11.106,0.052,0,0.062,0,3.022,0,6.87,14.09,2.02,299.13,21.73,64.4,53.21,153.2,19.52
24,0.294,11.986,0.177,2.193,0.017,0.056,0.589,10.362,0.038,0.579,0,0.091,0.067,0.067,0,0,0.003,0,11.021,4.989,0.291,11.961,0.102,0.001,0.048,0,3.179,0.002,4.88,13.62,1.96,327.48,22.81,66.57,45.35,164.68,21.57
25,0.632,11.598,0.205,1.827,0.005,0.077,1.737,14.269,0.004,0.478,0,0.06,0.045,0.045,0.048,0.14,0.005,0,3.77,4.846,0.222,20.482,0.06,0,0.023,0,17.611,0,2.95,64.31,4.53,263.42,22.08,62.94,68.4,160.5,16.67
26,0.214,17.489,0.145,2.401,0.018,0.041,0.331,4.795,0.019,0.173,0.04,0.049,0.076,0.076,0.049,0,0.005,1.723,5.569,2.517,0.308,13.528,0.155,0,0.051,0,3.442,0,6.01,14.37,1.76,220.85,23.04,88.77,42.22,134.4,17.76
27,0.188,11.22,0.272,2.156,0.007,0.095,2.102,3.85,0.014,0.265,0,0.046,0.082,0.082,0.088,0.087,0.003,0,1.263,1.873,0.022,3.649,0.157,0,0.017,0,1.297,0,4.01,6.13,1.38,249.45,12.92,47.77,39.74,133.27,14.93
28,0.527,10.141,0.297,2.896,0.01,0.043,0.214,8.688,0,0.646,0.036,0.028,0.019,0.019,0.21,0,0,2.357,1.951,6.251,0.113,5.952,0.088,0,0.033,0,1.98,0,3.7,7.99,1.9,322.4,14.71,44.81,62.51,162.62,19.7
29,1.006,14.655,0.414,2.055,0.011,0.025,0.374,4.862,0.059,0.343,0,0.093,0.06,0.06,0.041,0,0.002,0,8.94,2.493,0,11.529,0.111,0,0.033,0.042,4.74,0.001,4.83,18.03,1.59,204.47,22.05,69.69,67.56,112.96,14.22
30,0.317,13.775,0.202,2.06,0.045,0.126,1.071,7.955,0.037,0.525,0.017,0.086,0.135,0.135,0.04,0.182,0.001,0,0,0,0,1.033,0,0,0.002,0,0.275,0,4.08,18.47,1.58,279.86,25.42,64.59,45.68,145.33,19.46
31,0.263,9.782,0.117,3.761,0.003,0.04,0.183,2.488,0.004,0.128,0.014,0.05,0.066,0.066,0,0,0.001,0,0.811,4.233,0,5.955,0.099,0.004,0.03,0,1.618,0,4.65,7.4,1.02,273.57,11.07,46.49,48.3,135.41,15.34
32,0.337,7.147,0.222,1.534,0.02,0.032,0.269,4.737,0,0.364,0.018,0.014,0.056,0.056,0.052,0,0.003,0,2.801,4.694,0.171,7.808,0.022,0.002,0.038,0,2.302,0,2.87,9.64,1.12,292.78,14.49,31.86,45.19,143.16,17.26
33,0.233,19.288,0.323,1.158,0.014,0.056,0.202,1.903,0.005,0.076,0,0.026,0.019,0.019,0,0.084,0.004,0,0,0,0,2.481,0,0.002,0.005,0,0.639,0.003,3.36,7.78,2.92,314.07,19.79,98.29,39.94,169.68,19.23
34,3.314,9.94,0.174,3.709,0.025,0.075,0.265,12.966,0,0.312,0,0.025,0.084,0.084,0.045,0,0,0,0,0,0,2.13,0,0.014,0.005,0.025,0.614,0,3.19,8.44,1.65,298.73,12.74,46.9,58.13,150.45,17.85
35,2.215,12.835,0.214,1.534,0.031,0.058,0.324,8.197,0,0.537,0.036,0.017,0.062,0.062,0.045,0,0.005,0,0,0,0,0.776,0,0,0,0,0.124,0,2.81,11.32,1.86,317.5,29.69,63.05,39.94,163,20.62
36,0.34,13.843,0.131,2.158,0.003,0.06,0.532,11.319,0.014,0.574,0,0.043,0.081,0.081,0.045,0,0.002,1.472,1.155,2.507,0.106,5.068,0.049,0.003,0.021,0.027,1.633,0,5.84,7.84,3.46,324.72,21.59,71.73,55.63,167.72,19.76
37,0.244,14.801,0.104,3.136,0.023,0.047,0.279,14.33,0.004,0.626,0,0.064,0.099,0.099,0.064,0,0.004,0,4.05,5.166,0.158,8.342,0.097,0.001,0.037,0,2.391,0,5.05,11.24,2.04,320.37,25.11,81.61,77.34,159.25,19.93
38,0.261,14.34,0.142,2.337,0.028,0.058,0.736,7.098,0,0.426,0.018,0.062,0.113,0.113,0.061,0,0.004,0,3.563,3.356,0.075,4.716,0.051,0,0.036,0,1.718,0,5.45,8.41,1.39,282.79,12.3,66.74,54.83,152.18,17.16
