Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Cu,Na,P,Mg
96,0.516,8.996,0.267,1.217,0.013,-0.005,0.302,5.179,0,0.211,0.109,0.026,0,0,0.048,0,0.001,0,7.122,10.017,0,4.906,0.129,0.003,0.046,0.042,1.479,0,2.95,7.7,1.43,331.18,13.75,39.21,43.15,166.63,19.27
97,0.379,17.638,0.115,1.363,0.006,0.025,0.169,13.588,0,0.198,0.032,0.015,0.047,0.047,0,0,0.005,0,0,9.839,0.006,5.783,0.081,0.008,0.042,0,2.009,0,5.24,8.73,2.53,306.93,22.06,96.06,46.91,169.42,19.92
98,0.551,11.289,0.245,1.931,0.011,0.007,0.136,11.498,0,0.589,0,0.019,0.045,0.045,0.049,0,0,0,4.526,12.352,0.041,6.698,0.077,0.007,0.027,0,1.994,0.005,5.8,9.87,1.99,365.9,14.73,40.12,58.16,182.45,21.03
99,0.179,9.891,0.384,1.805,0.014,0,0.262,3.054,0,0.059,0.036,0.088,0.029,0.029,0.054,0,0.001,0,8.322,12.298,0.013,11.748,0.145,0.005,0.03,0,3.037,0,7.8,18.45,3.12,307.02,14.09,54.9,67.88,160.97,21.37
100,1.189,26.763,0.41,1.929,0.011,0.036,0.289,1.575,0,0.037,0.036,0.287,0.103,0.103,0,0.094,0,0,11.659,3.804,0.185,7.976,0.173,0,0.017,0,1.992,0,3.77,11.7,2.63,202.38,22.26,144.84,61.92,134.32,15.12
101,0.283,8.972,0.382,2.821,0.052,0.055,0.39,2.227,0,0.047,0,0.133,0.084,0.084,0.055,0,0.001,2.096,10.288,5.242,0.151,14.086,0.184,0,0.052,0.037,3.734,0,3.21,15.67,2.33,233.13,21.07,35.45,57.28,122.68,15.49
102,0.606,9.077,0.3,2.431,0.011,0.163,0.176,2.085,0,0.045,0.036,0.063,0.063,0.063,0.047,0,0,0,5.756,3.993,0.131,8.978,0.278,0.004,0.037,0,2.559,0,4.91,10.67,4.69,260.49,20.39,46.7,66.2,132.14,15.65
103,0.393,25.055,0.234,1.839,0.014,0.073,0.844,1.422,0,0.021,0,0.282,0.068,0.068,0,0,0.004,0,4.834,3.691,0.091,8.804,0.235,0.001,0.04,0,2.544,0,3.25,11.93,3,219.41,23.6,125.62,62.87,130.16,15.3
104,0.309,8.311,0.406,3.015,0.034,0.044,1.13,1.962,0,0.038,0,0.129,0.032,0.032,0.047,0,0,0,11.104,2.858,0,9.103,0.154,0,0.02,0,2.067,0,2.42,17.54,1.81,224.58,10.23,32.96,56.2,114.81,12.92
105,0.375,10.909,0.722,3.633,0.024,0.021,0.304,2.4,0,0.058,0,0.395,0.06,0.06,0.056,0,0.002,0,15.297,5.19,0.037,10.316,0.245,0,0.014,0,2.571,0,4.74,17.04,2.9,317.51,12.45,53.11,74.59,169.26,20.04
106,0.43,25.096,0.195,1.685,0.017,0.041,0.252,1.466,0,0.025,0,0.107,0.036,0.036,0.144,0,0.004,0,6.844,4.037,0.233,10.019,0.174,0,0.032,0,2.588,0,3.23,11.54,2.99,199.2,28.52,127.94,53.96,124.32,14.37
107,0.356,9.178,0.577,4.068,0.025,0.042,0.186,2.218,0,0.046,0,0.334,0.022,0.022,0.047,0,0.002,1.654,6.24,5.627,0.003,8.58,0.316,0.001,0.018,0,1.979,0,3.49,13.56,2.56,273.2,15.21,39.71,78.68,138.57,16.33
108,0.393,12.346,0.496,3.756,0.021,0.037,0.23,2.258,0,0.044,0,0.431,0.03,0.03,0,0,0.003,0,5.032,3.781,0,10.261,0.337,0.002,0.033,0,2.452,0,4.68,13.73,2.64,274.45,14.75,59.44,72.21,147.93,16.46
109,0.514,18.391,0.195,3.897,0.008,0.039,0.111,8.957,0,0.268,0,0.03,0.124,0.124,0.047,0,0.003,0,2.817,4.934,0.037,5.735,0.108,0,0.012,0,1.417,0,4.19,12,3.07,249.75,21.96,97.99,57.87,148.52,17.31
110,0.428,6.182,0.604,1.08,0.016,0.01,0.159,2.26,0,0.028,0,0.035,0.088,0.088,0.05,0,0.003,1.431,4.102,3.339,0.176,6.104,0.055,0.002,0.017,0,1.831,0,4.25,9.78,1.74,191.19,14.36,26.19,36.3,104.73,12.85
111,0.456,21.507,0.706,1.567,0.023,0.015,0.14,2.771,0,0.045,0,0.012,0.087,0.087,0,0,0.002,1.642,4.406,4.107,0.133,5.451,0.022,0,0.031,0,1.781,0,2.53,7.68,2.01,208.86,22.48,120.09,29.79,140.2,16.11
112,0.232,7.607,0.114,1.981,0.034,0.054,0.399,5.246,0,0.12,0,0.007,0.07,0.07,0,0.082,0.002,0,8.599,3.467,0.2,9.733,0.056,0,0.053,0,3.269,0,3.71,10.55,1.79,152.97,31.26,33.82,35.04,84.76,11.29
113,0.887,9.077,0.185,1.247,0.045,0.056,0.871,6.909,0,0.098,0,0.006,0.042,0.042,0.047,0,0.004,2.922,3.153,4.941,0.094,6.187,0.046,0,0.025,0,2.713,0,2.88,9.99,3.08,302.86,16.03,41.55,45.06,152.72,17.42
114,0.575,14.674,0.188,3.139,0.025,0.008,0.181,9.056,0.001,0.262,0.036,0.003,0.073,0.073,0.065,0,0.001,0,0.901,6.411,0.029,4.457,0.041,0,0.031,0,1.322,0,4.12,8.05,3.01,286.2,17.32,74.65,42.01,169.33,20.12
115,0,0,0,0,0,0,0,2.996,0,0.094,0.034,0.02,0.03,0.03,0.064,0,0,0,0,0.663,0.015,4.75,0.008,0,0.01,0.033,1.503,0,1.33,6.65,1.01,124.53,8.73,19.34,27.59,64.08,8.66
116,0.469,5.454,0.132,1.652,0.024,0.048,0.376,3.884,0,0.088,0,0.042,0.037,0.037,0.238,0,0,1.574,21.492,1.786,0.151,6.813,0.045,0,0.028,0,2.168,0,1.94,8.77,2.05,141.13,20.95,27.31,30.51,68.4,8.32
117,0.417,14.101,1.124,3.038,0.082,0.027,0.255,4.368,0,0.063,0,0.04,0.08,0.08,0.193,0,0.003,0,3.968,5.387,1.671,5.175,0.042,0,0.027,0,1.4,0.011,6.25,8.68,2.58,300.21,15.86,67.6,47.72,164.78,20.2
118,0.358,11.744,0.102,3.644,0.021,0.051,0.086,7.209,0,0.167,0,0.028,0.078,0.078,0.188,0.087,0,0,0,4.688,0,4.968,0.065,0,0.012,0,1.498,0,4.74,7.79,2.23,212.2,13.13,58.14,46.58,122.68,14.43
119,0.532,8.286,0.15,3.171,0.012,0.037,0.103,5.634,0,0.117,0,0.011,0.074,0.074,0.089,0.084,0,0,1.537,2.959,0.084,4.698,0.048,0,0.033,0,2.171,0,4.25,7.68,3.05,168.02,16.61,44.86,36.24,91.11,11.13
120,0.259,6.937,0.161,0.98,0.021,0.016,0.175,4.884,0,0.058,0,0.012,0.034,0.034,0.098,0,0.001,0,0,2.386,0.175,4.964,0.019,0,0.024,0,1.824,0,2.06,9.68,2.47,210.82,16.87,34.1,37.81,113.25,13.46
121,1.299,10.592,0.298,1.156,0.014,0.112,0.472,7.518,0,0.127,0,0.051,0.07,0.07,0.098,0.092,0.002,0,20.053,7.194,0.189,11.303,0.12,0,0.064,0,3.452,0,2.96,13.62,3.33,303.17,19.05,52.04,48.62,150.65,18.35
122,0.599,8.729,0.172,1.287,0.014,0.03,0.206,7.231,0,0.088,0,0.024,0.075,0.075,0.1,0,0.001,0,4.467,5.471,0.291,5.352,0.047,0,0.017,0,2.26,0,3.29,9.63,5.81,339.06,22.25,47.02,50.36,173.38,19.13
123,0.53,24.801,0.141,6.829,0.048,0.056,0.425,10.326,0,0.289,0,0.029,0.113,0.113,0,0,0,0,25.067,6.416,0.093,8.921,0.057,0,0.041,0,2.924,0,5.09,12.61,2.82,259.86,29.92,115.95,42.73,164.66,19.99
124,0.631,21.024,0.19,6.734,0.025,0.022,0.189,9.652,0,0.287,0,0.014,0.085,0.085,0.101,0,0,0,2.49,4.059,0,4.657,0.042,0,0.016,0,1.298,0,4.48,7.88,2.91,254.39,17.33,91.65,39.77,157.23,18.75
125,0.528,16.414,1.633,4.093,0.073,0.035,0.244,4.664,0.001,0.083,0.035,0.065,0.088,0.088,0.163,0.196,0.003,1.596,11.362,4.782,0.051,9.152,0.088,0,0.037,0,2.337,0,5.14,11.95,2.9,292.28,24.26,74.3,43.68,163.64,21
126,0.246,7.979,0.168,1.476,0.065,0.089,0.591,1.268,0,0.028,0,0.047,0.063,0.063,0.052,0.272,0.001,0,3.654,1.843,0.089,10.221,0.054,0,0.022,0,2.897,0,3.91,13.99,1.56,134.78,15.55,33.37,28.71,70.64,10.93
127,0.321,7.861,0.414,1.671,0.011,0.046,0.216,3.974,0,0.055,0,0.027,0.04,0.04,0.054,0.097,0,2.778,1.76,2.5,0.072,7.708,0.025,0.001,0.026,0,2.035,0,4.04,11.3,2.68,216.71,19.26,37.38,41.43,110.14,14.14
128,0.599,14.964,0.738,2.358,0.02,0.052,0.56,4.531,0,0.196,0,0.025,0.089,0.089,0,0,0,0,3.138,3.791,0.127,5.987,0.076,0,0.016,0,1.315,0,5.7,8.77,3.58,283.37,23.64,68.91,58.52,150.01,19.27
